Candidato;Partido;Ordem2;Circ;Gend
Cristina Paula Silva Oliveira – Independente;L;15;braga;0
António Barbosa Marques;L;16;braga;1
Marta Raquel dos Santos Macedo – Independente;L;17;braga;0
Abel Filipe Marques Pereira – Independente;L;18;braga;1
Ângela Manuela Leites Costa – Independente;L;19;braga;0
Maxim Simões Abreu Jaffe - Independente;L;1;braKanca;1
Alcina Gomes Paiva Bento - Independente;L;2;braKanca;0
Delfina Micaela Bordalo Bento - Independente;L;3;braKanca;0
Maria Stela Correia Lourenço;L;1;castelo_b;0
Daniel Ricardo Maranhão Santana;L;2;castelo_b;1
Margarida Isabel Botelho Falcão Paredes;L;3;castelo_b;0
André Monteiro Pires;L;4;castelo_b;1
Rui Gil Coelho Cristino Mamede;L;1;coimbra;1
Alda Maria da Rocha;L;2;coimbra;0
António Veríssimo Caneira;L;3;coimbra;1
Paula Maria Gonçalves dos Santos – Independente;L;4;coimbra;0
Pedro Manuel Cravino Serra;L;5;coimbra;1
Susana Araújo Santos da Silva – Independente;L;6;coimbra;0
Pedro José de Maio Moura;L;7;coimbra;1
Diana Mafalda Bordalo Bento – Independente;L;8;coimbra;0
Eduardo de Carvalho Viana;L;9;coimbra;1
Maria da Glória Capela Tomás Cebola de Almeida Franco;L;1;evora;0
Jorge Manuel Henriques Martinho;L;2;evora;1
Lúcia Maria Passinhas Janeiro;L;3;evora;0
Marta Gutierres Nobre Ramos Setúbal;L;1;faro;0
Manuel Cândido Nunes Mariano;L;2;faro;1
Carla Sofia Natividade Emídio do Carmo;L;3;faro;0
Carlos David da Loura Marques;L;4;faro;1
Ana Sofia Dias Marcelino;L;5;faro;0
Francisco António do Espirito Santo da Fonseca Taveira;L;6;faro;1
Maria João Duarte Nobre Pereira Bernardo;L;7;faro;0
Luís Eugénio Castanheira da Conceição;L;8;faro;1
Rosa Maria Cardoso de Resende Palma Dias;L;9;faro;0
Margarida Garcia Bordal Bento;L;1;guarda;0
Luís Filipe Moreira Freire;L;2;guarda;1
Rosa Maria do Céu Barros Coelho;L;3;guarda;0
Filipe Alexandre Fernandes Honório;L;1;leiria;1
Inês Santos Pires;L;2;leiria;0
Pedro Miguel Silva Santos;L;3;leiria;1
Joana Filipa Estêvão de Oliveira;L;4;leiria;0
Fernando Lino Barradas Franco;L;5;leiria;1
Ana Catarina Faria Bernardes;L;6;leiria;0
José Alberto Alvarez de Bettencourt;L;7;leiria;1
Adriana Cardoso Azevedo;L;8;leiria;0
Fábio Cipriano Ventura;L;9;leiria;1
Sandrine Maria Oliveira Santos;L;10;leiria;0
Rui Miguel Marcelino Tavares Pereira;L;1;lisboa;1
Isabel Rendeiro Marques Mendes Lopes;L;2;lisboa;0
Carlos Manuel Guilherme Lage Teixeira;L;3;lisboa;1
Patrícia Carla Serrano Gonçalves;L;4;lisboa;0
Safaa Rachid El Dib;L;5;lisboa;0
Rodrigo Craveiro dos Reis da Costa Brito;L;6;lisboa;1
Tomás Perestrelo de Vasconcelos Cardoso Pereira;L;7;lisboa;1
Isabel Luísa Parreira Mota Quinn – Independente;L;8;lisboa;0
Ana Luísa Reis Natário;L;9;lisboa;0
Miguel Cristóvão dos Santos;L;10;lisboa;1
Maria Ofélia Passinhas Janeiro;L;11;lisboa;0
João Filipe Lourenço Monteiro;L;12;lisboa;1
Diana Raquel de Carvalho e Barbosa;L;13;lisboa;0
André Marques Spencer Coelho;L;14;lisboa;1
Júlio António Machado Santos;L;15;lisboa;1
Ana Maria da Silva Martins Nunes – Independente;L;16;lisboa;0
Jorge Miguel Luz Marques da Silva;L;17;lisboa;1
Eunice Januário Gomes;L;18;lisboa;0
Paulo Jorge Neves Julião;L;19;lisboa;1
Rita Pedro Teixeira Soares;L;20;lisboa;0
Rui Manuel Pereira Matias;L;21;lisboa;1
Ana Filipa Alfaia Abraham-James;L;22;lisboa;0
Joffre António de Souza Justino – Independente;L;23;lisboa;1
Bárbara Haydée Schilling Tengarrinha;L;24;lisboa;0
Hugo Manuel Ribeiro Travanca;L;25;lisboa;1
Maria Teresa Janela Pinto;L;26;lisboa;0
André Ribeiro Mendes;L;27;lisboa;1
Sara Soares Marques Proença;L;28;lisboa;0
Miguel Ângelo da Silva Alves de Andrade;L;29;lisboa;1
Ana Mafalda Seixas Romão Correia Pernão – Independente;L;30;lisboa;0
Adriano José Alves Filipe de Carvalho Barrias;L;31;lisboa;1
Maria Inês Machado Amaro de Oliveira – Independente;L;32;lisboa;0
Francisco Pedro Santos Miranda Ferreira;L;33;lisboa;1
Denise Carolina Franco Mateus;L;34;lisboa;0
Pedro Diogo Duarte Alves Gonçalves;L;35;lisboa;1
Maria Teresa Costa da Silva;L;36;lisboa;0
Martim Ramos Machado de Freitas Pardal;L;37;lisboa;1
Ana Maria das Neves Diniz Simão – Independente;L;38;lisboa;0
Renato Sérgio Vasques Marques;L;39;lisboa;1
Paula Alexandra da Cruz Aresta;L;40;lisboa;0
Paulo Jorge Mendrico Rodrigues Garcia;L;41;lisboa;1
Maria João Leitão do Valle – Independente;L;42;lisboa;0
José João Marques Querido;L;43;lisboa;1
Maria Isabel Freire Ribeiro Ferreira – Independente;L;44;lisboa;0
Tomás Ezra Casmarrinha Nunes;L;45;lisboa;1
Maria do Rosário da Conceição Esteves Pereira;L;46;lisboa;0
Francisco Brites de Araújo Lucas – Independente;L;47;lisboa;1
Cláudia Alexandra Santos Pinto;L;48;lisboa;0
Francisco João Maçãs Biscainho;L;1;portalegre;1
Maria da Conceição Mocinha Velez;L;2;portalegre;0
Eduardo Jorge Costa Pinto;L;1;porto;1
Ana Rita Baptista Ferreira;L;2;porto;0
Diamantino José Videira Matos Raposinho;L;3;porto;1
Filipa Maria Gonçalves Pinto;L;4;porto;0
Francisco Ferreira da Silva Paupério;L;5;porto;1
Ana Sofia Poças Ribeiro;L;6;porto;0
José Manuel André Ramos;L;7;porto;1
Anabela Peixoto Ferreira;L;8;porto;0
Miguel Alexandre Mendes Alves;L;9;porto;1
Irene Maria dos Santos Gomes;L;10;porto;0
Vítor Alexandre da Cunha Marmelo;L;11;porto;1
Inês Viana Pala;L;12;porto;0
Mário Rui Pinheiro Gaspar;L;13;porto;1
Susana Beirão Canelas;L;14;porto;0
Manuel Maria Bastos Rola Brito Guerra;L;15;porto;1
Rita Ribeiro da Silva;L;16;porto;0
Nuno Miguel Martins dos Santos Arada;L;17;porto;1
Inês Margarida do Valle Araújo Saraiva Wemans;L;18;porto;0
Rui Dinis Costa Lima da Silva;L;19;porto;1
Ana Isabel Cardoso Moreira;L;20;porto;0
Samuel da Silva Faria;L;21;porto;1
Ana Sofia Lage Mier Pelaez;L;22;porto;0
Rui Filipe Soares Moreira;L;23;porto;1
Sofia Verónica Oliveira Santos;L;24;porto;0
Miguel Castro Brandão;L;25;porto;1
Ana Luísa Bastos Rola Brito Guerra;L;26;porto;0
Henrique Taveira Couto Guedes Vasconcelos;L;27;porto;1
Mariana Alexandra do Couto Teixeira Santos;L;28;porto;0
Filipe Miguel Martins da Silva;L;29;porto;1
Inês Maria Petiz de Castro Viana;L;30;porto;0
Cláudio Jorge Oliveira Santos;L;31;porto;1
Íris Idália Relvas Martins Ferreira;L;32;porto;0
Márcio Daniel Pereira Barros;L;33;porto;1
Joana Vaz Pereira;L;34;porto;0
Patrick Fonseca Teixeira;L;35;porto;1
Daniela Margarida Bordalo Bento;L;36;porto;0
João Ricardo Corredoura Fanha;L;37;porto;1
Clarisse Moreira de Sousa;L;38;porto;0
Alberto Jorge Cardoso Neves de Castro;L;39;porto;1
Alexandra Katharina Nagenrauft da Silva;L;40;porto;0
Sandro Miguel Santos;L;1;santarem;1
Maria Luísa Alvarenga Vieira Dias;L;2;santarem;0
Pedro Mendonça;L;3;santarem;1
Teresa Brites - Independente;L;4;santarem;0
Sérgio Nunes;L;5;santarem;1
Susana Galamba - Independente;L;6;santarem;0
Mário Barreira;L;7;santarem;1
Ernestina Vieira - Independente;L;8;santarem;0
Henrique Rezende de Castro;L;9;santarem;1
Paulo Jorge Velez Muacho;L;1;setubal;1
Luciana Beatriz de Almeida da Cruz;L;2;setubal;0
Flávio André Gomes Oliveira;L;3;setubal;1
Ana Isabel Cerqueiro Militão Caetano Raposo Marques;L;4;setubal;0
Vasco Emanuel Teixeira da Silva;L;5;setubal;1
Mafalda Pires Gonçalves;L;6;setubal;0
Manuel Pedro dos Santos Rodrigues Pereira;L;7;setubal;1
Eugénia Maria Fernandes Costa;L;8;setubal;0
Nuno Miguel Brás Rolo;L;9;setubal;1
Ana Patrícia da Silva Afonso - Independente;L;10;setubal;0
Luis Filipe Tavares Marcelino Figueiredo;L;11;setubal;1
Isabel Maria Duarte Faria;L;12;setubal;0
Luís Filipe Alves Gorgulho;L;13;setubal;1
Joana Pinto Teixeira - Independente;L;14;setubal;0
Nuno Jorge Antunes Passinhas - Independente;L;15;setubal;1
Maria de Fátima Ferreira Serrano - Independente;L;16;setubal;0
Beatriz Filipe;L;17;setubal;0
Joaquim Augusto Miranda da Silva;L;18;setubal;1
Filipe Machado Faro da Costa;L;1;viana_c;1
Mónica Cristiana Castro de Sousa Pinto - Independente;L;2;viana_c;0
Pedro Gonçalo Nunes Mendes Caseiro Pereira;L;3;viana_c;1
Teresa Maria Marques Fernandes Rebelo;L;4;viana_c;0
José Bernardo Vilhena Júlio Marques Vidal;L;5;viana_c;1
Maria João Ferreira de Carvalho;L;6;viana_c;0
João Luís Nogueira da Silva;L;1;vila_r;1
Maria Emília Pereira Simões de Abreu;L;2;vila_r;0
Luís Manuel Teixeira Gomes Rebelo;L;3;vila_r;1
Magda Sofia Serrasqueiro Barata Lourenço;L;4;vila_r;0
Miguel João Paiva Bento;L;5;vila_r;1
Miguel Daiyen Carvalho Won;L;1;viseu;1
Inês Won Sampaio;L;2;viseu;0
Luís Henrique Pereira Braz Marques;L;3;viseu;1
Ana Marta Santos Salvado;L;4;viseu;0
Carlos Aldo Santos Oliveira;L;5;viseu;1
Maria Luísa Natário;L;6;viseu;0
Rui Manuel Moreira Vidal Simões;L;7;viseu;1
Maria João Dias Carrilho;L;8;viseu;0
José Tiago Silva Camacho - Independente;L;1;madeira;1
Lourdes Mendes Paiva - Independente;L;2;madeira;0
Paulo Ricardo Azevedo- Independente;L;3;madeira;1
Liliana Catarina Gomes Pereira - Independente;L;4;madeira;0
Francisco Tomás Franco Ferreira - Independente;L;5;madeira;1
Joana Raquel Bento Teixeira - Independente;L;6;madeira;0
José Manuel Viegas Oliveira Neto Azevedo;L;1;acores;1
Florbela Martins do Carmo;L;2;acores;0
Bernardo Maria de Castilho Baptista Fernandes;L;3;acores;1
Margarida do Carmo Afonso Pinto;L;4;acores;0
Anhelina Bykova;L;5;acores;0
Natércia das Neves Rodrigues Lopes;L;1;europa;0
Francisco Miguel de Abreu Duarte;L;2;europa;1
Geiziely Glícia Fernandes;L;1;fora;0
Marco Filipe Marques Craveiro;L;2;fora;1
Rui Carlos Medeiros Alvarenga;PAN;1;aveiro;1
Ana Teresa da Silva Gonçalves;PAN;2;aveiro;0
Ernesto Carlos Iglésias Morais;PAN;3;aveiro;1
Marta Elisa dos Santos Dutra;PAN;4;aveiro;0
Pedro Filipe Oliveira Rodrigues;PAN;5;aveiro;1
Andrea Carla Gonçalves Domingos;PAN;6;aveiro;0
João Miguel Pereira de Almeida;PAN;7;aveiro;1
Margarida Sofia Batista Antunes Rosa;PAN;8;aveiro;0
Nuno Micael Alvim Coelho da Silva;PAN;9;aveiro;1
Joana Catarina da Silva Pinto;PAN;10;aveiro;0
João Gaspar Vasconcelos de Azevedo;PAN;11;aveiro;1
Ana Cristina da Silva Maia;PAN;12;aveiro;0
Ricardo António Miranda Gaspar;PAN;13;aveiro;1
Isabel Maria Brito Portugal Raposo;PAN;14;aveiro;0
Sérgio André Santos Rodrigues;PAN;15;aveiro;1
Miguel Filipe Wilson Pinto Roby Ataíde;PAN;16;aveiro;1
Luís António de Matos Vicente;PAN;1;beja;1
Ana Cristina do Espírito Santo Piçarra;PAN;2;beja;0
Duarte Nuno Alexandre Malhão;PAN;3;beja;1
Júlio Rafael Leite Pinto;PAN;1;braga;1
Sandra Manuela da Costa Pimenta;PAN;2;braga;0
Tiago Jorge Monteiro Teixeira;PAN;3;braga;1
Diana Gomes Pereira Araújo;PAN;4;braga;0
Rui Miguel dos Santos Rocha;PAN;5;braga;1
Joana Carolina Mendes da Silva de Oliveira Mota;PAN;6;braga;0
Emanuel Silva Figueiredo;PAN;7;braga;1
Ana Paula Pimentel Monteiro;PAN;8;braga;0
Jorge Miguel da Rocha Esteves;PAN;9;braga;1
Taciana Isabel Azevedo dos Santos;PAN;10;braga;0
José Jorge de Sá Lamego;PAN;11;braga;1
Ana Rita Apolinário Figueiredo;PAN;12;braga;0
Nuno Filipe Teibão Martins da Silva;PAN;13;braga;1
Sidónia Isabela Martins Henriques;PAN;14;braga;0
Hélder Alexandre Costa Pereira;PAN;15;braga;1
Bebiana Alice Sarmento Brochado;PAN;16;braga;0
André Alexandre da Costa Teixeira;PAN;17;braga;1
Cláudia Márcia da Silva Miranda Faria;PAN;18;braga;0
Francisco Sidónio Faria Salgado;PAN;19;braga;1
Octávio José Pires;PAN;1;braKanca;1
Ana Maria Fernandes Pires;PAN;2;braKanca;0
Anabela Jesus Gomes Araújo;PAN;3;braKanca;0
Amália Cardoso Rodrigues;PAN;1;castelo_b;0
Fábio João Antunes Marçal;PAN;2;castelo_b;1
Sandra Geraldes Rodrigues Alves;PAN;3;castelo_b;0
Sérgio Filipe Gonçalves Lourenço;PAN;4;castelo_b;1
João Pedro Dias Fontes da Costa;PAN;1;coimbra;1
Marta Isabel Peixoto Guimarães da Cruz Correia;PAN;2;coimbra;0
Lucinda Isabel Martins de Campos;PAN;3;coimbra;0
Guilherme Morgado Coelho;PAN;4;coimbra;1
Mariana Rodrigues de Carvalho – Independente;PAN;5;coimbra;0
Magda Filipe de Brito Schindelar;PAN;6;coimbra;0
António Guilherme da Cruz Duarte Leal – Independente;PAN;7;coimbra;1
Pedro Filipe Valente Teixeira – Independente;PAN;8;coimbra;1
Carla Mariana Pereira Rodrigues Pinto;PAN;9;coimbra;0
Maria Alexandra Mendes Gil dos Reis Moreira;PAN;1;evora;0
Fernando José Ribeiro Lemos de Oliveira;PAN;2;evora;1
Laura Sofia Tavares Chaves Costa;PAN;3;evora;0
Ana Luísa Poeta Simões;PAN;1;faro;0
Saúl José Lopes Rosa;PAN;2;faro;1
Alexandre Topete Hipólito Pereira;PAN;3;faro;1
Daniela Marlene da Conceição Duarte;PAN;4;faro;0
Maria João Sacadura e Serrano;PAN;5;faro;0
Armando António Mestre Frade;PAN;6;faro;1
Sara Alexandra Gonçalves dos Santos;PAN;7;faro;0
Abílio de Jesus Nascimento Guerreiro;PAN;8;faro;1
Elza Maria Martins de Sousa Cunha;PAN;9;faro;0
Beatriz Salafranca Ferraz;PAN;1;guarda;0
Rita Manuela de Jesus Bastos Pires;PAN;2;guarda;0
Joaquim Ferreira Carvalho;PAN;3;guarda;1
Liliana Patrícia Silva Vieira;PAN;1;leiria;0
Norberto Lopes Ribeiro;PAN;2;leiria;1
Patrícia Isabel Santos Martinho;PAN;3;leiria;0
Judite Catarina Sousa Ventura;PAN;4;leiria;0
Eusébio Ricardo Areias Silva;PAN;5;leiria;1
Sandra Patrícia Pacheco Oliveira;PAN;6;leiria;0
Manuel Augusto Martins Moreira;PAN;7;leiria;1
Ana Sofia Santos Pereira;PAN;8;leiria;0
Paulo Alexandre Brites Monteiro;PAN;9;leiria;1
Teresa Margarida da Costa Araújo;PAN;10;leiria;0
Paula Inês Alves de Sousa Real;PAN;1;lisboa;0
Nelson José Basílio Silva;PAN;2;lisboa;1
Paula Alexandra Pinheirinho Jacinto e Nicolau;PAN;3;lisboa;0
Ricardo Martins Vicente;PAN;4;lisboa;1
Tânia Filipa Mesquita Madeira;PAN;5;lisboa;0
Filipe Bernardo da Costa Agostinho Rodrigues Lisboa;PAN;6;lisboa;1
Ana Sílvia Rodrigues Paixão Ferreira Marques;PAN;7;lisboa;0
Pedro Miguel Pereira Ferreira da Silva;PAN;8;lisboa;1
Isabel Maria Fidalgo Figueiredo do Carmo;PAN;9;lisboa;0
António Morgado Valente;PAN;10;lisboa;1
Sofia dos Santos Carvalho;PAN;11;lisboa;0
Pedro Filipe Fidalgo Marques;PAN;12;lisboa;1
Soraya Branco Ossman;PAN;13;lisboa;0
Philip David dos Santos Baverstock;PAN;14;lisboa;1
Maria de Fátima de Castro Cordeiro Cabral;PAN;15;lisboa;0
Nelson de Jesus Simões Batista;PAN;16;lisboa;1
Patrícia Leitão Mariano;PAN;17;lisboa;0
Darchite Jaiante Kantelal;PAN;18;lisboa;0
Linda Inês Rodrigues Gonçalves;PAN;19;lisboa;0
Carlos José Macedo;PAN;20;lisboa;1
Maria Helena Tavares Chaves Costa;PAN;21;lisboa;0
Pedro Miguel Guerreiro Nunes dos Santos;PAN;22;lisboa;1
Carla Patrícia Baltazar Serralha;PAN;23;lisboa;0
João Igor Lopes Adrega da Fonseca;PAN;24;lisboa;1
Marta Dias dos Santos;PAN;25;lisboa;0
Camilo Vasco dos Santos Ferro Soveral;PAN;26;lisboa;1
Verónica Cabral dos Santos;PAN;27;lisboa;0
Nuno Miguel Fragoso Ribeiro;PAN;28;lisboa;1
Mariana Amaral Figueira de Jesus;PAN;29;lisboa;0
Susana Gomes Ribeira;PAN;30;lisboa;0
Jorge Manuel Rodrigues da Silva;PAN;31;lisboa;1
Maria Eduarda de Azevedo Pires da Costa Ferraz;PAN;32;lisboa;0
Andreia Alexandra Rodrigues Alves;PAN;33;lisboa;0
Rui Miguel Caldas Nunes;PAN;34;lisboa;1
Lucinda da Conceição Romão Coelho;PAN;35;lisboa;0
Luís Filipe Mota Almeida;PAN;36;lisboa;1
Ana Maria Couto Gabriel Ribeirinho;PAN;37;lisboa;0
Miguel David Salema Quintela;PAN;38;lisboa;1
Susana do Rosário Trindade;PAN;39;lisboa;0
Albano Alves Pires;PAN;40;lisboa;1
Sarah Karina Armas Nordin;PAN;41;lisboa;0
Carla Maria Barradas Laranjeira;PAN;42;lisboa;0
Fernando Filipe Ronenberg;PAN;43;lisboa;1
Matilde Filipe Batalha Camilo;PAN;44;lisboa;0
Marco Marsili;PAN;45;lisboa;1
Mónica Monteiro Fragoso de Castro Inácio;PAN;46;lisboa;0
Nuno António Garcia Amarante;PAN;47;lisboa;1
Sandra Dolores Pinto Cóias;PAN;48;lisboa;0
Jorge Manuel Alcobia Pereira;PAN;1;portalegre;1
Telma Isabel Tavares Espírito Santo;PAN;2;portalegre;0
Bebiana Maria Ribeiro da Cunha;PAN;1;porto;0
Anabela Silva de Castro;PAN;2;porto;0
Paulo Nuno de Carneiro Vieira de Castro;PAN;3;porto;1
Nuno Rodrigo Andrade Tavares Pires;PAN;4;porto;1
Cristina Maria Nogueira da Costa Santos;PAN;5;porto;0
Jorge Manuel Pereira Ribeiro;PAN;6;porto;1
Ana Lúcia Pedro da Cruz;PAN;7;porto;0
Pedro Jorge Ribeiro de Castro Teixeira;PAN;8;porto;1
Rodrigo Campos Reis;PAN;9;porto;1
Maria João Lima Costa;PAN;10;porto;0
João Paulo Fangueiro Alves;PAN;11;porto;1
Paula Alexandra Pinho da Costa;PAN;12;porto;0
Rui André Carvalho Vidal;PAN;13;porto;1
Ilda Maria Sereno Duarte Leite Assunção;PAN;14;porto;0
António Carlos dos Santos Lopes Vieira;PAN;15;porto;1
Natacha Gambini Doria Meunier;PAN;16;porto;0
Albano Luís Pena Lemos Pires;PAN;17;porto;1
Vítor Fernando Paraty Matos Ribeiro;PAN;18;porto;1
Elsa Maria Coelho Pinto;PAN;19;porto;0
Ricardo Jorge Cardoso dos Santos Couto;PAN;20;porto;1
Hugo Jorge Monteiro de Pinho;PAN;21;porto;1
Teresa Olívia Ribeiro da Silva Passos Gonçalves;PAN;22;porto;0
Frederico António Nunes Ferronha;PAN;23;porto;1
Ana Maria Costa Santos Castro Dias;PAN;24;porto;0
António José de Azevedo Soares;PAN;25;porto;1
Sónia Maria Bacelar Brochado Coutinho;PAN;26;porto;0
Hugo Filipe Dias Ribeiro;PAN;27;porto;1
Maria Elena de Castro Henriques;PAN;28;porto;0
Maria de Lurdes Costa Amaral Delgado;PAN;29;porto;0
Pedro de Araújo Farinha;PAN;30;porto;1
Inês Isabel Geraldes Vaz;PAN;31;porto;0
Joana Teixeira Dumas;PAN;32;porto;0
Carlos Rafael Coutinho de Sousa;PAN;33;porto;1
Ana Sofia da Silva Vieira;PAN;34;porto;0
Sara Cristina da Silva Saraiva;PAN;35;porto;0
Miguel Ferraz Carneiro dos Santos Costa;PAN;36;porto;1
João Filipe Pires Borges;PAN;37;porto;1
Fernanda Pimenta Dias Roxo;PAN;38;porto;0
António José Guimarães Paiva Correia;PAN;39;porto;1
Isabel Maria dos Santos Moura;PAN;40;porto;0
Mónica Cristina Martins Gonçalves da Silva;PAN;1;santarem;0
Pedro Miguel Tavares Machado;PAN;2;santarem;1
Ana Cecília do Nascimento Dinis Pereira;PAN;3;santarem;0
Vera Fazenda Matos;PAN;4;santarem;0
Rui Miguel Meira Isabel;PAN;5;santarem;1
Rita Elisabete Antunes Gomes Bacalhau Lopes;PAN;6;santarem;0
Luís Pedro Quinteira Cordeiro Martinho;PAN;7;santarem;1
Teresa Lucília Dias Correia Ferreira;PAN;8;santarem;0
Manuel Jorge Brito Montenegro;PAN;9;santarem;1
Vítor Miguel da Silva Pinto;PAN;1;setubal;1
Mariana Vieira Crespo;PAN;2;setubal;0
Ivo Filipe Batista Gomes;PAN;3;setubal;1
Paulo Jorge Pires Moreira;PAN;4;setubal;1
Isabel Maria Raposo Costa Ferreira;PAN;5;setubal;0
Durval José Ferreira Próspero Salema;PAN;6;setubal;1
João Paulo Martins da Silva Frasco;PAN;7;setubal;1
Paula Margarida Costa Esteves da Costa;PAN;8;setubal;0
José Manuel Gomes Ferreira;PAN;9;setubal;1
Sónia Cristina dos Santos Pimentel Martins;PAN;10;setubal;0
António Joaquim Sota Martins;PAN;11;setubal;1
Ana Paula Coelho Abraços Mendes;PAN;12;setubal;0
Luís Humberto Pacheco Ferreira Teixeira;PAN;13;setubal;1
Diogo Ramalhete Macedo de Sousa Gomes;PAN;14;setubal;1
Maria Rute Ferreira de Oliveira Montalvo;PAN;15;setubal;0
Hélder António Neves da Silva;PAN;16;setubal;1
Maria Teresa Sousa Leitão;PAN;17;setubal;0
Ricardo Manuel da Cruz Reis;PAN;18;setubal;1
Miguel João Barata Marques de Queirós;PAN;1;viana_c;1
Karine Fátima da Costa Torres;PAN;2;viana_c;0
Maria Teresa Pereira Fontão;PAN;3;viana_c;0
Filipe Alves Freitas;PAN;4;viana_c;1
Paulo Alexandre Sampaio Ferreira das Neves;PAN;5;viana_c;1
Maria Ferreira Ramos Pereira;PAN;6;viana_c;0
José Maria dos Santos Castro;PAN;1;vila_r;1
Filipa Daniela Gomes Pires Alves;PAN;2;vila_r;0
José Maria Figueiredo Alves Meireles;PAN;3;vila_r;1
Maria de Lurdes Machado Santos;PAN;4;vila_r;0
Flávio Alexandre Ventura Batista;PAN;5;vila_r;1
Carolina Maria Pina de Almeida;PAN;1;viseu;0
Carolina Pia Barros Dias de Figueiredo;PAN;2;viseu;0
Bruno Miguel da Fonseca Marques;PAN;3;viseu;1
Maria da Conceição Dias de Oliveira;PAN;4;viseu;0
Cândido Monteiro Coelho;PAN;5;viseu;1
Sara Raquel Lunet Miroto;PAN;6;viseu;0
Alexandre Manuel da Silva Rodrigues;PAN;7;viseu;1
Vera Vanessa Ferreira Polónio;PAN;8;viseu;0
Joaquim José Batalha de Sousa;PAN;1;madeira;1
Nelson Alexandre Pereira da Rocha Almeida;PAN;2;madeira;1
Fabiana Sofia Nóbrega Fernandes;PAN;3;madeira;0
Hugo Miguel Andrade Pereira Olival;PAN;4;madeira;1
Válter Diogo Ornelas Ramos;PAN;5;madeira;1
Margarida Rosa Cardoso Silva Magalhães;PAN;6;madeira;0
Ana Maria Paulo Teixeira;PAN;1;acores;0
Frederico de Ornelas Bruges Cavaleiro Ferreira;PAN;2;acores;1
Sónia Alexandra Ramalho Domingos;PAN;3;acores;0
Dinarte Manuel Andrade Pimentel;PAN;4;acores;1
Lúcia de Freitas Silva;PAN;5;acores;0
Rogério Cristiano Rocha de Castro;PAN;1;europa;1
Sónia Patrícia Gavancha de Oliveira;PAN;2;europa;0
Nelson Correia Abreu;PAN;1;fora;1
Lara Quintano Condesso;PAN;2;fora;0
Adelino da Silva Nunes Pereira;PCP;1;aveiro;1
Juliana Filipa Carvalho da Silva;PCP;2;aveiro;0
Fausto Manuel da Silva Neves;PCP;3;aveiro;1
João José Neto Bernardo Ferreira;PCP;4;aveiro;1
Cristina Manuela Neves Tavares;PCP;5;aveiro;0
Joana Filipa Moreira Dias;PCP;6;aveiro;0
Justino de Jesus Pereira;PCP;7;aveiro;1
Matilde Santana Ferreira;PCP;8;aveiro;0
Isabel Cristina Lopes Tavares;PCP;9;aveiro;0
Nuno Filipe Moreira Teixeira;PCP;10;aveiro;1
Bruno Rafael Pereira Correia;PCP;11;aveiro;1
Maria Miguel Sá Tavares Lopes;PCP;12;aveiro;0
Isabel Cristina Pereira de Sousa Gomes;PCP;13;aveiro;0
João Miguel Canas Tavares;PCP;14;aveiro;1
Cláudia Susana Lima Pereira;PCP;15;aveiro;0
Pedro Alexandre Afonso Marques Tavares;PCP;16;aveiro;1
João Manuel lldefonso Dias - PCP;PCP;1;beja;1
Tomé Alexandre Martins Pires – PCP;PCP;2;beja;1
Sara Cristina Ramos Marcelino - PCP;PCP;3;beja;0
José Manuel Torcato Ribeiro – PCP;PCP;1;braga;1
Alberto Carlos Carvalho de Almeida – PCP;PCP;2;braga;1
Tânia Daniela Carvalho da Silva – PCP;PCP;3;braga;0
Maria do Carmo Castro Fernandes Cunha – PCP;PCP;4;braga;0
Filipe José Braga Moura Gomes – PEV;PCP;5;braga;1
Bárbara Seco de Barros – PCP;PCP;6;braga;0
Mário Jorge Gomes de Figueiredo – PCP;PCP;7;braga;1
Rosa Manuela Mota Guimarães – PCP;PCP;8;braga;0
Inês Alves Rodrigues – PCP;PCP;9;braga;0
Manuel Fernando Morgado Carvoeiro – PCP;PCP;10;braga;1
Ana Paula Quintela Rodrigues – PCP;PCP;11;braga;0
Joaquim Daniel Pereira Rodrigues – PCP;PCP;12;braga;1
Mariana Costa Prata – PCP;PCP;13;braga;0
Catarina Freitas Marques – PCP;PCP;14;braga;0
João Jorge Ferreira Baptista – PCP;PCP;15;braga;1
Francisco Manuel da Silva Vieira – PCP;PCP;16;braga;1
Ana Paula Fernandes Martins – PCP;PCP;17;braga;0
Vilma Catarina Vieira da Mota Barbosa – PCP;PCP;18;braga;0
Carmindo João da Costa Soares – PCP;PCP;19;braga;1
Joana Isabel Pires da Costa Monteiro - PCP;PCP;1;braKanca;0
Márcio José Castro Pinheiro - PCP;PCP;2;braKanca;1
Manuel Fernando dos Santos Mateus - PCP;PCP;3;braKanca;1
Jorge Manuel Roque Batista Fael - PCP;PCP;1;castelo_b;1
Ana Maria Ramos Pinto Leitão - PCP;PCP;2;castelo_b;0
Margarida Monteiro Gavinhos Martins Pacheco - PCP;PCP;3;castelo_b;0
Eduardo Abrantes Machado - PCP;PCP;4;castelo_b;1
Manuel Vaz Pires da Rocha - PCP;PCP;1;coimbra;1
Inês Seabra Henriques de Carvalho - PCP;PCP;2;coimbra;0
Filipa Malva do Vale Gameiro Cardoso - PCP;PCP;3;coimbra;0
Paulo Jorge Gaspar Coelho - PEV;PCP;4;coimbra;1
Laura Maria Tarrafa Pereira da Silva - PCP;PCP;5;coimbra;0
