Candidato;Partido;Ordem2;Circ;Gend
Ricardo André de Castro Pereira;BE;5;viana_c;1
Adriana Beatriz Oliveira Temporão;BE;6;viana_c;0
Enara Teixeira;BE;1;vila_r;0
Carlos Manuel Moreira Gomes;BE;2;vila_r;1
José Luís da Silva Rodrigues;BE;3;vila_r;1
Rita Marques Barbosa;BE;4;vila_r;0
Luís Miguel Mourão dos Santos;BE;5;vila_r;1
Manuela Maria Coelho Antunes;BE;1;viseu;0
Manuel da Rocha Coelho;BE;2;viseu;1
Inês Maria da Silva Coelho;BE;3;viseu;0
José Miguel Silva Lopes;BE;4;viseu;1
Maria Adelaide Rosa Osório;BE;5;viseu;0
David Filipe dos Santos;BE;6;viseu;1
Raluca Georgetta Ionicã;BE;7;viseu;0
Pedro Manuel da Silva Pinto;BE;8;viseu;1
Maria Luísa Lopes Alves dos Santos Marques;BE;1;madeira;0
Miguel Ângelo Monteiro da Silva;BE;2;madeira;1
Alzira Neli de Aguiar Mala Azevedo;BE;3;madeira;0
Paulo Sérgio Freitas Sousa;BE;4;madeira;1
Carina Sofia Fernandes Quintal;BE;5;madeira;0
Rui Manuel Ferrão Pereira;BE;6;madeira;1
Jéssica Costa Pacheco;BE;1;acores;0
Hugo Alexandre da Silva Bettencourt;BE;2;acores;1
Aurora Maria Agostinho Ribeiro;BE;3;acores;0
Pedro Gaspar Amaral;BE;4;acores;1
Vera Lúcia Pinheiro Pires;BE;5;acores;0
Maria Teresa Nóbrega Duarte Soares;BE;1;europa;0
Bruno Maurício André Fialho de Assunção;BE;2;europa;1
Miguel Luís Delgado Heleno;BE;1;fora;1
Célia Maria Lopes Martins;BE;2;fora;0
Martim José Rosado Borges de Freitas;CDS;1;aveiro;1
José António Nogueira Souto Amaro Pereira;CDS;2;aveiro;1
Lília Ana da Cruz Oliveira Martins Águas;CDS;3;aveiro;0
Fernando Manuel Carvalho Camelo Almeida;CDS;4;aveiro;1
Ana Rita Ferreira Ramos;CDS;5;aveiro;0
António Mário Carvalho Sousa;CDS;6;aveiro;1
Liliana de Oliveira da Cruz;CDS;7;aveiro;0
António Pinto Moreira;CDS;8;aveiro;1
Sandra Marisa Queiroz Ferreira da Silva;CDS;9;aveiro;0
Carlos Augusto Oliveira Valente;CDS;10;aveiro;1
António Jesus Falcão Pereira;CDS;11;aveiro;1
Sandra Cristina Calisto Roque;CDS;12;aveiro;0
Sandra Isabel Silva Melo de Almeida;CDS;13;aveiro;0
Pedro Tomás Pereira Marques;CDS;14;aveiro;1
Ana Patrícia Vinhal Matos Sanches;CDS;15;aveiro;0
Marco António Dias Carvalho;CDS;16;aveiro;1
Francisco Calheiros Lopes de Seixas Palma - Independente;CDS;1;beja;1
Patrícia Isabel da Silva Pinheiro Sequeira Guerreiro - Independente;CDS;2;beja;0
